iter	Passed	Remaining
0	2	2812
1	5	2666
2	8	2672
3	10	2620
4	13	2650
5	15	2586
6	18	2643
7	21	2627
8	24	2671
9	26	2648
10	29	2645
11	32	2644
12	34	2625
13	37	2666
14	40	2687
15	43	2682
16	46	2686
17	49	2679
18	52	2695
19	54	2684
20	56	2644
21	58	2600
22	60	2561
23	61	2518
24	64	2496
25	66	2474
26	67	2441
27	69	2415
28	71	2387
29	73	2365
30	74	2337
31	76	2321
32	78	2306
33	80	2280
34	81	2255
35	83	2236
36	84	2210
37	86	2191
38	88	2169
39	89	2148
40	91	2145
41	93	2136
42	95	2120
43	96	2103
44	98	2084
45	99	2063
46	100	2043
47	102	2035
48	104	2033
49	107	2036
50	109	2029
51	110	2021
52	112	2009
53	114	1999
54	115	1990
55	118	1991
56	119	1982
57	121	1971
58	123	1963
59	124	1951
60	126	1942
61	127	1934
62	129	1920
63	130	1914
64	132	1910
65	134	1899
66	136	1896
67	137	1887
68	139	1884
69	141	1875
70	142	1864
71	144	1856
72	146	1857
73	147	1849
74	149	1842
75	151	1838
76	152	1830
77	154	1821
78	155	1811
79	156	1804
80	158	1803
81	160	1798
82	161	1788
83	165	1799
84	166	1797
85	168	1791
86	170	1784
87	171	1780
88	173	1777
89	175	1778
90	177	1772
91	179	1769
92	181	1765
93	182	1761
94	185	1766
95	187	1768
96	189	1763
97	190	1756
98	192	1751
99	194	1748
100	196	1745
101	197	1740
102	200	1744
103	202	1742
104	204	1741
105	205	1737
106	207	1735
107	210	1739
108	212	1738
109	214	1735
110	216	1730
111	217	1723
112	218	1718
113	220	1712
114	221	1706
115	224	1707
116	225	1705
117	227	1701
118	228	1695
119	230	1689
120	231	1685
121	233	1678
122	234	1674
123	236	1673
124	238	1669
125	240	1665
126	241	1658
127	242	1653
128	244	1649
129	245	1644
130	246	1638
131	248	1636
132	251	1637
133	253	1636
134	254	1630
135	255	1624
136	257	1619
137	258	1615
138	260	1610
139	261	1605
140	263	1606
141	265	1601
142	266	1598
143	268	1593
144	269	1591
145	271	1588
146	273	1584
147	275	1583
148	277	1584
149	279	1581
150	280	1577
151	282	1573
152	283	1571
153	285	1569
154	287	1567
155	290	1572
156	292	1570
157	293	1566
158	295	1562
159	296	1558
160	297	1552
161	299	1547
162	300	1542
163	302	1539
164	304	1538
165	306	1539
166	307	1535
167	309	1530
168	310	1525
169	311	1521
170	313	1517
171	314	1513
172	316	1512
173	318	1510
174	319	1506
175	320	1502
176	322	1497
177	323	1494
178	325	1492
179	326	1489
180	330	1493
181	332	1493
182	333	1490
183	336	1490
184	337	1488
185	339	1484
186	340	1481
187	342	1479
188	344	1478
189	345	1474
190	347	1472
191	349	1469
192	350	1466
193	352	1465
194	355	1468
195	357	1467
196	359	1465
197	361	1463
198	363	1462
199	365	1461
200	366	1458
201	369	1459
202	372	1461
203	374	1461
204	376	1459
205	378	1457
206	380	1456
207	382	1455
208	385	1457
209	386	1454
210	388	1452
211	390	1452
212	392	1449
213	393	1446
214	396	1447
215	398	1446
216	400	1445
217	402	1442
218	403	1438
219	405	1436
220	406	1434
221	408	1432
222	411	1432
223	412	1430
224	414	1427
225	415	1424
226	417	1421
227	418	1418
228	420	1414
229	423	1416
230	424	1414
231	426	1413
232	428	1411
233	430	1408
234	431	1406
235	433	1403
236	436	1405
237	438	1404
238	440	1403
239	442	1402
240	444	1399
241	446	1398
242	448	1397
243	451	1399
244	453	1397
245	454	1393
246	456	1392
247	458	1390
248	459	1387
249	462	1386
250	465	1387
251	466	1385
252	468	1382
253	469	1379
254	471	1377
255	473	1375
256	475	1375
257	477	1373
258	479	1372
259	481	1369
260	482	1366
261	484	1363
262	485	1361
263	487	1359
264	491	1361
265	492	1360
266	494	1358
267	496	1356
268	499	1356
269	501	1357
270	504	1357
271	506	1355
272	508	1352
273	509	1350
274	511	1348
275	512	1345
276	514	1344
277	517	1344
278	521	1348
279	523	1346
280	525	1344
281	526	1341
282	528	1339
283	531	1340
284	533	1338
285	536	1340
286	538	1338
287	540	1336
288	542	1335
289	545	1334
290	547	1332
291	548	1330
292	550	1327
293	552	1325
294	553	1323
295	555	1321
296	557	1320
297	559	1318
298	561	1316
299	563	1313
300	564	1311
301	566	1309
302	568	1306
303	571	1308
304	573	1306
305	575	1304
306	577	1302
307	578	1300
308	580	1298
309	583	1299
310	586	1299
311	588	1297
312	590	1295
313	591	1292
314	593	1289
315	594	1286
316	596	1285
317	598	1283
318	600	1282
319	602	1280
320	604	1277
321	605	1274
322	606	1272
323	610	1273
324	612	1272
325	614	1270
326	616	1268
327	617	1265
328	619	1262
329	620	1260
330	623	1260
331	626	1260
332	628	1258
333	630	1256
334	631	1254
335	633	1251
336	635	1249
337	638	1250
338	640	1249
339	642	1246
340	643	1244
341	645	1241
342	647	1239
343	651	1241
344	653	1241
345	655	1239
346	657	1237
347	660	1237
348	664	1238
349	666	1237
350	668	1235
351	669	1233
352	671	1230
353	673	1228
354	676	1228
355	678	1227
356	680	1226
357	682	1223
358	684	1221
359	685	1218
360	687	1216
361	689	1216
362	692	1214
363	694	1212
364	696	1211
365	698	1209
366	699	1207
367	701	1204
368	704	1203
369	705	1202
370	707	1200
371	709	1197
372	711	1195
373	712	1193
374	714	1190
375	717	1190
376	718	1187
377	720	1185
378	721	1182
379	723	1180
380	725	1178
381	726	1176
382	729	1174
383	731	1173
384	733	1171
385	735	1169
386	736	1167
387	738	1165
388	740	1162
389	742	1161
390	745	1160
391	747	1158
392	748	1156
393	750	1154
394	752	1151
395	753	1149
396	755	1147
397	757	1145
398	759	1144
399	761	1141
400	762	1139
401	763	1136
402	765	1134
403	767	1132
404	770	1132
405	772	1130
406	774	1128
407	775	1125
408	777	1122
409	778	1120
410	780	1118
411	783	1118
412	786	1118
413	788	1116
414	790	1113
415	791	1110
416	792	1108
417	794	1106
418	797	1105
419	800	1104
420	801	1102
421	803	1100
422	804	1097
423	806	1094
424	807	1092
425	809	1091
426	812	1090
427	814	1088
428	815	1085
429	817	1083
430	818	1080
431	820	1078
432	823	1077
433	827	1079
434	829	1076
435	830	1074
436	832	1072
437	833	1069
438	836	1069
439	838	1067
440	840	1065
441	842	1063
442	844	1061
443	845	1058
444	848	1057
445	850	1055
446	852	1054
447	854	1053
448	856	1050
449	857	1048
450	859	1046
451	862	1045
452	864	1044
453	866	1041
454	867	1039
455	869	1037
456	871	1035
457	873	1033
458	875	1032
459	877	1030
460	879	1028
461	880	1025
462	882	1023
463	884	1021
464	885	1019
465	888	1017
466	890	1016
467	892	1014
468	894	1012
469	896	1010
470	898	1008
471	900	1006
472	902	1005
473	905	1005
474	907	1002
475	908	1000
476	910	998
477	912	995
478	913	993
479	915	992
480	917	990
481	919	988
482	921	986
483	922	983
484	924	981
485	925	979
486	927	976
487	929	975
488	931	973
489	933	971
490	935	969
491	936	967
492	938	965
493	940	962
494	942	961
495	944	960
496	946	958
497	948	955
498	950	953
499	952	952
500	953	950
501	956	948
502	958	947
503	960	945
504	962	943
505	963	941
506	965	938
507	966	936
508	969	935
509	974	935
510	975	933
511	977	931
512	979	929
513	980	927
514	983	926
515	988	927
516	990	925
517	993	924
518	995	922
519	1001	924
520	1003	922
521	1005	920
522	1006	918
523	1010	917
524	1012	915
525	1014	914
526	1016	912
527	1018	910
528	1019	908
529	1022	906
530	1025	905
531	1027	903
532	1028	901
533	1031	900
534	1033	898
535	1043	903
536	1046	902
537	1048	900
538	1051	899
539	1053	897
540	1055	895
541	1056	892
542	1058	890
543	1063	891
544	1066	890
545	1068	888
546	1070	886
547	1071	884
548	1077	884
549	1079	883
550	1082	881
551	1084	879
552	1086	877
553	1090	878
554	1093	876
555	1095	874
556	1097	872
557	1099	870
558	1101	869
559	1104	867
560	1106	865
561	1108	863
562	1110	862
563	1112	859
564	1114	857
565	1116	856
566	1119	854
567	1121	852
568	1122	850
569	1125	848
570	1126	846
571	1129	844
572	1131	843
573	1133	841
574	1134	838
575	1136	836
576	1138	834
577	1140	832
578	1142	830
579	1145	829
580	1147	827
581	1148	825
582	1150	822
583	1152	820
584	1153	818
585	1158	818
586	1159	816
587	1161	813
588	1164	812
589	1166	810
590	1169	809
591	1171	807
592	1173	805
593	1175	803
594	1177	801
595	1179	799
596	1180	797
597	1184	796
598	1186	794
599	1188	792
600	1190	790
601	1191	787
602	1193	785
603	1196	784
604	1199	782
605	1201	781
606	1203	779
607	1205	777
608	1206	774
609	1209	773
610	1212	771
611	1214	769
612	1216	767
613	1217	765
614	1219	763
615	1221	761
616	1224	760
617	1226	758
618	1228	756
619	1230	753
620	1231	751
621	1233	749
622	1236	748
623	1239	746
624	1241	744
625	1243	742
626	1244	740
627	1246	738
628	1248	736
629	1251	734
630	1253	732
631	1255	730
632	1256	728
633	1258	726
634	1259	723
635	1261	721
636	1264	720
637	1266	718
